add : 1 : 000000std00000100000
addi : 3 : 001000sti
addiu : 3 : 001001sti
addu : 1 : 000000std00000100001
and : 1 : 000000std00000100100
andi : 3 : 001100sti
beq : 2 : 000100sti
bgez : 4 : 000001s00001i
bgezal : 4 : 000001s10001i
bgtz : 4 : 000111s00000i
blez : 4 : 000110s00000i
bltz : 4 : 000001s00000i
bltzal : 4 : 000001s10000i
bne : 2 : 000101sti
div : 5 : 000000st0000000000011010
divu : 5 : 000000st0000000000011011
j : 6 : 000010i
jal : 6 : 000011i
jr : 7 : 000000s000000000000000001000
lb : 8 : 100000sti
lbu : 8 : 100100sti
lh : 8 : 100001sti
lhu : 8 : 100101sti
lui : 9 : 00111100000ti
lw : 8 : 100011sti
mfhi : 10 : 0000000000000000d00000010000
mflo : 10 : 0000000000000000d00000010010
mult : 5 : 000000st0000000000011000
multu : 5 : 000000st0000000000011001
or : 1 : 000000std00000100101
ori : 3 : 001101sti
sb : 8 : 101000sti
sh : 8 : 101001sti
sll : 12 : 00000000000tdh000000
sllv : 13 : 000000std00000000100
slt : 1 : 000000std00000101010
slti : 3 : 001010sti
sltiu : 3 : 001011sti
sltu : 1 : 000000std00000101011
sra : 12 : 00000000000tdh000011
srl : 12 : 00000000000tdh000010
srlv : 13 : 000000std00000000110
sub : 1 : 000000std00000100010
subu : 1 : 000000std00000100011
sw : 8 : 101011sti
syscall : 11 : 00000000000000000000000000001100
xor : 1 : 000000std00000100110
xori : 3 : 001110sti
nop : 11 : 00000000000000000000000000000000
noop : 11 : 00000000000000000000000000000000
move : 14 : 001000st0000000000000000
