S000,C000,C000,C000,M000,M000,M000
S010,C010,C010,C010,,M010,
S020,C020,C020,C020,M020,,
S030,C030,C030,C030,,,
S100,C100,C100,C100,M100,M100,M100
S110,C110,C110,C110,,M110,
S120,C120,C120,C120,M120,,
S130,C130,C130,C130,,,
S200,C200,C200,C200,M200,M200,M200
S210,C210,C210,C210,,M210,
S220,C220,C220,C220,M220,,
S230,C230,C230,C230,,,
S300,C300,C300,C300,M300,M300,M300
S310,C310,C310,C310,,M310,
S320,C320,C320,C320,M320,,
S330,C330,C330,C330,,,
S400,C400,C400,C400,M400,M400,M400
S410,C410,C410,C410,,M410,
S420,C420,C420,C420,M420,,
S430,C430,C430,C430,,,
S500,C500,C500,C500,M500,M500,M500
S510,C510,C510,C510,,M510,
S520,C520,C520,C520,M520,,
S530,C530,C530,C530,,,
S600,C600,C600,C600,M600,M600,M600
S610,C610,C610,C610,,M610,
S620,C620,C620,C620,M620,,
S630,C630,C630,C630,,,
S700,C700,C700,C700,M700,M700,M700
S710,C710,C710,C710,,M710,
S720,C720,C720,C720,M720,,
S730,C730,C730,C730,,,
S001,R000,R000,R000,E000,E000,E000
S011,R001,R001,R001,,E001,
S021,R002,R002,R002,E002,,
S031,R003,R003,R003,,,
S101,R100,R100,R100,E100,E100,E100
S111,R101,R101,R101,,E101,
S121,R102,R102,R102,E102,,
S131,R103,R103,R103,,,
S201,R200,R200,R200,E200,E200,E200
S211,R201,R201,R201,,E201,
S221,R202,R202,R202,E202,,
S231,R203,R203,R203,,,
S301,R300,R300,R300,E300,E300,E300
S311,R301,R301,R301,,E301,
S321,R302,R302,R302,E302,,
S331,R303,R303,R303,,,
S401,R400,R400,R400,E400,E400,E400
S411,R401,R401,R401,,E401,
S421,R402,R402,R402,E402,,
S431,R403,R403,R403,,,
S501,R500,R500,R500,E500,E500,E500
S511,R501,R501,R501,,E501,
S521,R502,R502,R502,E502,,
S531,R503,R503,R503,,,
S601,R600,R600,R600,E600,E600,E600
S611,R601,R601,R601,,E601,
S621,R602,R602,R602,E602,,
S631,R603,R603,R603,,,
S701,R700,R700,R700,E700,E700,E700
S711,R701,R701,R701,,E701,
S721,R702,R702,R702,E702,,
S731,R703,R703,R703,,,
S002,C002,C001,,M002,M001,
S012,C012,C011,,,M011,
S022,C022,C021,,M022,,
S032,C032,C031,,,,
S102,C102,C101,,M102,M101,
S112,C112,C111,,,M111,
S122,C122,C121,,M122,,
S132,C132,C131,,,,
S202,C202,C201,,M202,M201,
S212,C212,C211,,,M211,
S222,C222,C221,,M222,,
S232,C232,C231,,,,
S302,C302,C301,,M302,M301,
S312,C312,C311,,,M311,
S322,C322,C321,,M322,,
S332,C332,C331,,,,
S402,C402,C401,,M402,M401,
S412,C412,C411,,,M411,
S422,C422,C421,,M422,,
S432,C432,C431,,,,
S502,C502,C501,,M502,M501,
S512,C512,C511,,,M511,
S522,C522,C521,,M522,,
S532,C532,C531,,,,
S602,C602,C601,,M602,M601,
S612,C612,C611,,,M611,
S622,C622,C621,,M622,,
S632,C632,C631,,,,
S702,C702,C701,,M702,M701,
S712,C712,C711,,,M711,
S722,C722,C721,,M722,,
S732,C732,C731,,,,
S003,R020,R010,,E020,E010,
S013,R021,R011,,,E011,
S023,R022,R012,,E022,,
S033,R023,R013,,,,
S103,R120,R110,,E120,E110,
S113,R121,R111,,,E111,
S123,R122,R112,,E122,,
S133,R123,R113,,,,
S203,R220,R210,,E220,E210,
S213,R221,R211,,,E211,
S223,R222,R212,,E222,,
S233,R223,R213,,,,
S303,R320,R310,,E320,E310,
S313,R321,R311,,,E311,
S323,R322,R312,,E322,,
S333,R323,R313,,,,
S403,R420,R410,,E420,E410,
S413,R421,R411,,,E411,
S423,R422,R412,,E422,,
S433,R423,R413,,,,
S503,R520,R510,,E520,E510,
S513,R521,R511,,,E511,
S523,R522,R512,,E522,,
S533,R523,R513,,,,
S603,R620,R610,,E620,E610,
S613,R621,R611,,,E611,
S623,R622,R612,,E622,,
S633,R623,R613,,,,
S703,R720,R710,,E720,E710,
S713,R721,R711,,,E711,
S723,R722,R712,,E722,,
S733,R723,R713,,,,
